sigma,gain,specification,completed,explosive,invalid,completion_rate,completion_ci_low,completion_ci_high
1,0.002,RE,5000,0,0,1,0.999232269862419,1
1,0.002,archive,5000,0,0,1,0.999232269862419,1
1,0.002,wage_proxy,5000,0,0,1,0.999232269862419,1
1,0.002,paper,5000,0,0,1,0.999232269862419,1
1,0.04,RE,5000,0,0,1,0.999232269862419,1
1,0.04,archive,5000,0,0,1,0.999232269862419,1
1,0.04,wage_proxy,4958,42,0,0.9916,0.988665788006928,0.993779379721802
1,0.04,paper,4958,42,0,0.9916,0.988665788006928,0.993779379721802
2,0.002,RE,5000,0,0,1,0.999232269862419,1
2,0.002,archive,5000,0,0,1,0.999232269862419,1
2,0.002,wage_proxy,5000,0,0,1,0.999232269862419,1
2,0.002,paper,5000,0,0,1,0.999232269862419,1
2,0.04,RE,5000,0,0,1,0.999232269862419,1
2,0.04,archive,0,5000,0,0,0,0.000767730137580694
2,0.04,wage_proxy,5000,0,0,1,0.999232269862419,1
2,0.04,paper,5000,0,0,1,0.999232269862419,1
